"Date,Time,Open,High,Low,Close,Volume,Brand_Name,Ticker,Industry_Tag,Country,Dividends,Stock Splits"
"08-09-2023,00:00:00-04:00,549.0700073,552.3798828,548.2175903,551.1900024,1077496,costco,COST,retail,usa,0,0"
"08-09-2023,00:00:00-04:00,549.0700073,552.3800049,548.0999756,551.1900024,1075300,costco,COST,retail,usa,0,0"
"07-09-2023,00:00:00-04:00,548.6500244,550.9899902,544.289978,548.6199951,1340000,costco,COST,retail,usa,0,0"
"06-09-2023,00:00:00-04:00,541.7199707,548.6799927,540.1799927,546.6900024,1476600,costco,COST,retail,usa,0,0"
"03-01-2000,00:00:00-05:00,31.51287336,31.51287336,30.43144325,30.79912949,6057400,costco,COST,retail,usa,0,0"
"04-01-2000,00:00:00-05:00,30.77750309,30.8423889,29.04721479,29.1121006,5722800,costco,COST,retail,usa,0,0"
"05-01-2000,00:00:00-05:00,29.22025265,29.71771069,28.96070933,29.60956764,7726400,costco,COST,retail,usa,0,0"
"06-01-2000,00:00:00-05:00,29.9772605,30.84240511,29.93400327,30.20436096,7221400,costco,COST,retail,usa,0,0"
"07-01-2000,00:00:00-05:00,30.0637729,32.26989149,30.04214429,32.20500565,5164800,costco,COST,retail,usa,0,0"
"10-01-2000,00:00:00-05:00,32.20499388,32.89710926,31.77242176,32.87548065,4454000,costco,COST,retail,usa,0,0"
"11-01-2000,00:00:00-05:00,32.61594797,32.91874855,31.66428901,31.70754623,2955000,costco,COST,retail,usa,0,0"
"12-01-2000,00:00:00-05:00,32.22664312,32.70247275,31.1019549,31.66429901,4687400,costco,COST,retail,usa,0,0"
"13-01-2000,00:00:00-05:00,32.0319792,33.26481027,31.44800659,32.85386658,5750800,costco,COST,retail,usa,0,0"
"14-01-2000,00:00:00-05:00,33.30805853,34.77880397,33.22154409,33.95691681,4571000,costco,COST,retail,usa,0,2"
"18-01-2000,00:00:00-05:00,33.74062813,35.81697447,33.3945704,35.47091675,5932000,costco,COST,retail,usa,0,0"
"19-01-2000,00:00:00-05:00,35.9467301,36.76861683,34.6922714,35.9034729,4130500,costco,COST,retail,usa,0,0"
"20-01-2000,00:00:00-05:00,36.24955618,36.7686429,34.60578156,34.60578156,5551900,costco,COST,retail,usa,0,0"
"21-01-2000,00:00:00-05:00,35.60071776,35.64397501,33.22156894,33.56762695,3520200,costco,COST,retail,usa,0,0"
"24-01-2000,00:00:00-05:00,33.35130195,35.4709048,32.18335752,32.52941513,5005500,costco,COST,retail,usa,0,0"
"25-01-2000,00:00:00-05:00,32.91875012,34.43275308,31.66429052,34.38949585,3730800,costco,COST,retail,usa,0,0"
"26-01-2000,00:00:00-05:00,34.00017533,35.99000748,33.69737479,34.90857697,3782800,costco,COST,retail,usa,0,0"
"27-01-2000,00:00:00-05:00,34.99507919,35.55742286,32.18336083,33.87039185,3109600,costco,COST,retail,usa,0,0"
"28-01-2000,00:00:00-05:00,33.65411385,34.43274374,31.75079636,31.83731079,2834600,costco,COST,retail,usa,0,0"
"31-01-2000,00:00:00-05:00,31.8805604,34.25970669,31.1451879,33.87039185,3249700,costco,COST,retail,usa,0,0"
"01-02-2000,00:00:00-05:00,34.12992785,36.07650169,33.22152673,35.9034729,4530500,costco,COST,retail,usa,0,0"
"02-02-2000,00:00:00-05:00,35.99000834,37.37423943,35.29789279,37.33098221,4945700,costco,COST,retail,usa,0,0"
"03-02-2000,00:00:00-05:00,37.37424899,38.06636472,36.8551622,37.50402069,4640800,costco,COST,retail,usa,0,0"
"04-02-2000,00:00:00-05:00,37.89331945,38.19611995,36.42257418,36.68211746,3273700,costco,COST,retail,usa,0,0"
"07-02-2000,00:00:00-05:00,35.99000333,36.1630322,35.29788789,35.47091675,2566700,costco,COST,retail,usa,0,0"
"08-02-2000,00:00:00-05:00,35.94675371,37.20121323,35.81698204,36.72538376,2440700,costco,COST,retail,usa,0,0"
"09-02-2000,00:00:00-05:00,35.98999543,36.68211073,35.60068057,36.59559631,1466800,costco,COST,retail,usa,0,0"
"10-02-2000,00:00:00-05:00,36.55233294,36.59559014,35.90347496,36.07650375,2761800,costco,COST,retail,usa,0,0"
"11-02-2000,00:00:00-05:00,36.07652032,36.20629197,35.29789038,35.77371979,2071000,costco,COST,retail,usa,0,0"
"14-02-2000,00:00:00-05:00,35.68720266,35.73045987,34.60577227,35.12485886,1856300,costco,COST,retail,usa,0,0"
"15-02-2000,00:00:00-05:00,34.64903965,34.95184025,33.56760895,34.17321014,2675400,costco,COST,retail,usa,0,0"
"16-02-2000,00:00:00-05:00,34.04343922,34.12995367,32.09686391,33.04852295,4231600,costco,COST,retail,usa,0,0"
"17-02-2000,00:00:00-05:00,33.22154929,33.22154929,30.10702905,30.45308685,6955400,costco,COST,retail,usa,0,0"
"18-02-2000,00:00:00-05:00,30.28006043,31.79406345,28.98234355,31.10194778,6004200,costco,COST,retail,usa,0,0"
"22-02-2000,00:00:00-05:00,31.01543079,31.31823137,29.50142789,30.45308685,3769600,costco,COST,retail,usa,0,0"
"23-02-2000,00:00:00-05:00,30.71262983,31.31823098,30.20435743,30.8424015,4267300,costco,COST,retail,usa,0,0"
"24-02-2000,00:00:00-05:00,30.9397163,31.18844523,29.76095744,30.71261597,3990500,costco,COST,retail,usa,0,0"
"25-02-2000,00:00:00-05:00,30.62611766,33.45946612,30.28005983,32.91875076,7698400,costco,COST,retail,usa,0,0"
"28-02-2000,00:00:00-05:00,32.7024473,35.03833639,32.7024473,33.87039185,6621300,costco,COST,retail,usa,0,0"
"29-02-2000,00:00:00-05:00,33.82715423,34.60578438,33.30806747,34.346241,3681800,costco,COST,retail,usa,0,0"
"01-03-2000,00:00:00-05:00,34.21647406,34.47601748,31.92384052,32.18338394,4624400,costco,COST,retail,usa,0,0"
"02-03-2000,00:00:00-05:00,32.91875239,35.90350129,32.87549516,34.346241,7841800,costco,COST,retail,usa,0,0"
"03-03-2000,00:00:00-05:00,34.73552879,35.47090113,33.82712766,34.5625,2430500,costco,COST,retail,usa,0,0"
"06-03-2000,00:00:00-05:00,34.51926617,34.77880953,34.00017946,34.69229507,3419200,costco,COST,retail,usa,0,0"
"07-03-2000,00:00:00-05:00,34.62741675,34.64904537,31.14520932,31.40475273,7506100,costco,COST,retail,usa,0,0"
"08-03-2000,00:00:00-05:00,32.05360352,32.09686074,29.32839836,31.57777405,6526600,costco,COST,retail,usa,0,0"
"09-03-2000,00:00:00-05:00,31.49125988,31.53451711,30.23680035,30.8424015,4937300,costco,COST,retail,usa,0,0"
"10-03-2000,00:00:00-05:00,30.92891346,32.010344,30.4098268,30.53959846,4934000,costco,COST,retail,usa,0,0"
"13-03-2000,00:00:00-05:00,30.45308277,31.14519829,29.32839506,29.76096725,3747300,costco,COST,retail,usa,0,0"
"14-03-2000,00:00:00-05:00,30.10701121,31.49124161,29.84746801,29.97723961,2097100,costco,COST,retail,usa,0,0"
"15-03-2000,00:00:00-05:00,29.89073346,34.95182726,29.76096182,34.47599792,5515300,costco,COST,retail,usa,0,0"
"16-03-2000,00:00:00-05:00,33.82715133,38.8017324,33.39457906,38.72603226,12820600,costco,COST,retail,usa,0,0"
